id,name,rank,status,parent_tsn
164808,Brosmophycis,Genus,valid,622727
645450,Caristius maderensis,Species,valid,168821
166719,Sebastes entomelas,Species,valid,166705
170743,Semicossyphus,Genus,valid,170477
167422,Ruscarius creaseri,Species,valid,167421
162098,Leuroglossus schmidti,Species,valid,162095
170426,Sphyraena argentea,Species,valid,170425
162234,Astronesthes,Genus,valid,622316
553152,Photichthyoidei,Suborder,valid,553138
168673,Oligoplites saurus,Species,valid,168672
166093,Melamphaes,Genus,valid,166092
162726,Myctophum nitidulum,Species,valid,162719
555799,Nototodarus,Genus,valid,555746
82589,Octopoda,Order,valid,555707
170222,Cirrhitidae,Family,valid,167641
165555,Strongylura exilis,Species,valid,165550
616685,Cheilopogon pinnatibarbatus,Species,valid,165433
172510,Icichthys lockingtoni,Species,valid,172509
167211,Artedius,Genus,valid,167196
167450,Bathyagonus pentacanthus,Species,valid,167444
172785,Monolene,Genus,valid,172714
622112,Diretmoides pauciradiatus,Species,valid,622097
162717,Loweina rara,Species,valid,162714
162671,Symbolophorus evermanni,Species,valid,162666
622319,Idiacanthinae,Subfamily,valid,162282
553223,Cryptacanthodidae,Family,valid,165214
162734,Centrobranchus andreae,Species,valid,162731
553139,Ophidiiformes,Order,valid,164385
51258,Porpitidae,Family,valid,613022
622372,Bathophilus brevis,Species,valid,162243
692068,Scorpaenichthys marmoratus,Species,valid,167352
172932,Hippoglossus stenolepis,Species,valid,172931
166737,Sebastes reedi,Species,valid,166705
170765,Iniistius pavo,Species,valid,170764
166738,Sebastes rosaceus,Species,valid,166705
623845,Myctophum lychnobium,Species,valid,162719
556251,Drechselia danae,Species,valid,555832
162684,Protomyctophum,Genus,valid,623694
170119,Hypsypops,Genus,valid,170044
172405,Euthynnus lineatus,Species,valid,172399
649606,Eutaeniophorinae,Subfamily,valid,162809
95559,Stylocheiron elongatum,Species,valid,95556
556714,Galiteuthis phyllura,Species,valid,205734
171478,Neoclinus blanchardi,Species,valid,171477
622361,Sigmops bathyphilum,Species,invalid,0
166702,Scorpaeniformes,Order,valid,166082
644732,Synodus evermanni,Species,valid,162375
165547,Ablennes,Genus,valid,165546
158852,Chordata,Phylum,valid,914156
166324,Lampris,Genus,valid,166323
614509,Xyrichtys mundiceps,Species,valid,613036
95501,Euphausia,Genus,valid,95500
622111,Diretmichthys parini,Species,valid,622096
555745,Ommastrephinae,Subfamily,valid,82514
164652,Centrophryne spinulosa,Species,valid,164651
643073,Hoplopagrus guentherii,Species,valid,168974
172365,Scombrolabrax,Genus,valid,550867
623312,Melanolagus,Genus,valid,162080
623836,Lampanyctus steinbecki,Species,valid,162632
162056,Argentinoidei,Suborder,valid,553133
82401,Abraliopsis felis,Species,valid,573100
162739,Taaningichthys,Genus,valid,623695
167469,Xeneretmus leiops,Species,valid,167466
172507,Stromateoidei,Suborder,valid,167640
172508,Centrolophidae,Family,valid,172507
172931,Hippoglossus,Genus,valid,615937
161289,Hoplunnis,Genus,valid,161301
162819,Giganturoidei,Suborder,valid,553127
623745,Nannobrachium ritteri,Species,valid,623699
205738,Haliphron atlanticus,Species,valid,205737
172872,Glyptocephalus,Genus,valid,615946
162504,Sudis,Genus,valid,162463
553121,Stenopterygii,Superorder,valid,161105
166112,Scopeloberyx,Genus,valid,166092
162761,Bolinichthys,Genus,valid,623695
172360,Gempylus serpens,Species,valid,172359
167380,Chitonotus pugetensis,Species,valid,167379
623274,Alepocephaloidea,Superfamily,valid,162056
644736,Synodus sechurae,Species,valid,162375
161630,Cyematidae,Family,valid,553147
166014,Leuresthes tenuis,Species,valid,166013
166414,Fistulariidae,Family,valid,166438
82663,Tremoctopodidae,Family,valid,555712
171053,Uranoscopidae,Family,valid,170913
162058,Nansenia,Genus,valid,553195
161609,Serrivomer sector,Species,valid,161604
644673,Magnisudis,Genus,valid,162463
165607,Scomberesocidae,Family,valid,645100
165550,Strongylura,Genus,valid,165546
162232,Danaphos oculatus,Species,valid,162231
168792,Coryphaena equiselis,Species,valid,168790
622675,Sternoptyx obscura,Species,valid,162226
630370,Ammodytoides,Genus,valid,171670
167388,Orthonopias triacis,Species,valid,167387
551018,Epinephelinae,Subfamily,valid,167674
171472,Cryptotrema corallinum,Species,valid,171471
170449,Polydactylus approximans,Species,valid,170446
168688,Seriola,Genus,valid,1228113
166784,Sebastolobus altivelis,Species,valid,166782
164650,Centrophrynidae,Family,valid,622712
622491,Sigmops gracile,Species,invalid,0
162550,Benthalbella dentata,Species,valid,162549
636877,Rhinogobiops nicholsii,Species,valid,636588
205737,Haliphron,Genus,valid,82664
171081,Champsodon,Genus,valid,171080
168731,Decapterus scombrinus,Species,invalid,0
166092,Melamphaidae,Family,valid,649602
170445,Polynemidae,Family,valid,167641
97698,Anomura,Infraorder,valid,96105
642601,Synchiropus atrilabiatus,Species,valid,171725
164905,Cataetyx rubrirostris,Species,valid,164898
82402,Abraliopsis affinis,Species,valid,573108
630593,Atherinella,Genus,valid,630585
172726,Citharichthys xanthostigma,Species,valid,172715
165214,Zoarcoidei,Suborder,valid,167640
169180,Sparidae,Family,valid,167641
173414,Mola mola,Species,valid,173413
553194,Radiicephalidae,Family,valid,638685
636625,Clarkichthys,Genus,valid,636572
623860,Parvilux boschmai,Species,valid,162770
168739,Hemicaranx,Genus,valid,1228110
649602,Stephanoberycoidea,Superfamily,valid,553140
95539,Nematoscelis,Genus,valid,95500
169057,Haemulon,Genus,valid,169055
644717,Lestidiops ringens,Species,valid,162476
161123,Anguilliformes,Order,valid,161106
165431,Exocoetidae,Family,valid,645099
622316,Astronesthinae,Subfamily,valid,162282
162246,Tactostoma,Genus,valid,622318
166773,Sebastes chrysomelas,Species,valid,166705
172563,Stromateidae,Family,valid,172507
555751,Octopodinae,Subfamily,valid,82590
162303,Alepocephalidae,Family,valid,623274
162719,Myctophum,Genus,valid,623694
82396,Enoploteuthis,Genus,valid,82397
622559,Bathophilus filifer,Species,valid,162243
164508,Lophiodes caulinaris,Species,valid,164503
166352,Zu,Genus,valid,166339
165986,Atherinops affinis,Species,valid,165985
171562,Anoplarchus,Genus,valid,171554
622318,Melanostomiinae,Subfamily,valid,162282
